Company Name,Hall Name,Country & City,About,Street,ZIP Code,City,Country,Email,Phone,Website Links,Product Data
A2J GmbH Technik die Verbindet,Hall 4 / D10,"Germany, Altusried","Since our foundation in 2008, we have prided ourselves on producing high quality medical devices that improve the quality of life for people with disabilities. Our comprehensive product range includes our specialized Pelvi.Loc pelvic retraction belts and traction devices for fixed front wheelchairs . Pelvi.Loc pelvic retraction belts are specially designed for people with multiple disabilities and enable precise positioning of the pelvis in a wheelchair or seat shell. Our 3D pelvic retraction pads have a unique shape that takes into account the contour of the hip flexion crease and dissipates resulting forces to ensure optimal positioning and comfort. Our traction devices are available in active versions both with and without a motor. They promote improved mobility and independence for wheelchair users by supporting easy and efficient locomotion. At A2J, people are at the center of everything we do. We are committed to providing high quality products worldwide that meet the highest safety and quality standards. Our mission is to make a positive contribution to the lives of people with disabilities through continuous innovation and dedication. Visit us and discover how A2J can help you lead a more comfortable and active life.",Am Fuchsberg 13,87452,Altusried,Germany,info@a2j-intl.com,+49 8373 987-269,http://www.a2j-intl.com,"Seats, cushions, moulded seats and accessories for kids"
ABR Belgium BV,Hall 4 / C39,"Belgium, Hasselt","‘At ABR Therapy, we put the spotlight on our children!’ We are a Belgian based organization that provides a home-based therapy for disabled children. We train the parents to be their own child’s therapist, so they can do the exercises on a daily basis in the comfort of their own home. With over 22 years of experience, we will look at every child’s individual needs and start making progress together.",Zomerstraat 32,3500,Hasselt,Belgium,info@abrtherapy.com,+32 486 718416,http://www.abrtherapy.com,Excercise therapy
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Push chairs
Altimate Medical Inc.,Hall 4 / G54,"USA, Morton MN","Since 1987, Altimate Medical and its EasyStand brand has lead the standing industry by creating unsurpassed standing technology for those with disabilities. Designed by a C6-7 quadriplegic, EasyStand’s line of standing frames have helped improve the quality of life for kids and adults who use wheelchairs worldwide. A durable medical equipment manufacturer based in Morton, Minnesota, we design and develop standing devices that support the body in a standing position. Simply designing a stander, though, was not enough. We strive to perfect all of our standing equipment and products and have turned to our valuable customers in doing so. Standing is all we do – and we offer the widest array of standing equipment in a variety of sizes and options, including the unique “Active Standing” Glider and the only true multi-position stander, the EasyStand Zing MPS. To learn more about EasyStand standers and ways it could change your life, fill out our  contact form  or call 800-342-8968. If you are interested in purchasing an EasyStand stander, our  supplier locator  will help you find a local provider and product expert. Our Commitment to Quality and Healthy Standing We excel at delivering exceptional quality in the design, manufacturing, and marketing of our products. We are committed to improving the quality of life for our customers, our employees and our vendors; therefore we will evaluate and maintain the effectiveness of our quality management system to ensure it meets all applicable customer, company, and regulatory requirements.","262, West 1st Street",56270,Morton MN,USA,info@easystand.com,+1 800 3428968,http://www.easystand.com,Stand and walker devices
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other organisations, institutions"
"Anji Jikeyuan Furniture Co.,Ltd",Hall 4 / H25-2,"China, Anji Huzhou Zhejiang","Located in Yangguang Industry Zone, Dipu Town, Anji City, Zhejiang Province, China. We are one professional furniture manufacturer and supplier of Manual Recliner Sofa, Electric Recliner Chair, Riser Recliner Chair, Recliner Sofa Set, Living Room Sofa, Theater Recliner Chair and so on. Our team has more than 10years of experience of Design, management, manufacturing and sales in this industry. So we have a good reputation in this industry. At the same time, we are a verified supplier by Alibaba. com and SGS. Would like to introduce our Advantages about company and products .","No.218, Changle Road, Dipu Town",313300,Anji Huzhou Zhejiang,China,sales@anjihomefurniture.com,+86 572 5036729,http://www.jkyliftchair.com,Electric wheelchairs and power wheelchairs
anne-lore by Van Herck BVBA,Hall 4 / B25,"Belgium, Geel","anne-Lore by Van Herck is a Belgian producer of textiles for the general facilities and nursing services of Healthcare institutions and medical wholesalers in Western Europe, for more than 30 years now.  'Wearing meets caring' has been the mainspring for generations! Just as you, as a care worker, take care of your patients and care tasks, we like to take care of your equipment. We dress residents and beds. Within patient clothing, the focus was no longer only on functional but also on being beautiful and stylish. Clothing in colours, with prints and in jeans that just looks. All this with respect for people, the environment and society. We offer a wide range of nursing aids for elderly people, people with special needs and psychiatric patients. For example : adapted nightwear and body's, sleeping bags, nursing blankets, side rail protectors, anti- tear linen and clothing, weighted blankets, textiles for sensory integration … Residents and patients will be more at ease in or with convenient, comfortable and protective clothing and products, that at the same time makes work as practical as possible for careers. In the anne-lore collection Van Herck also offers flame-retardant bedlinen-from fitted sheets and pillowcases to quilts with no dust covers: made from strong materials, washable at high temperatures, anti-allergic and non-iron fabrics. Durable and easy-to-wash,... An absolute must!",Gasthuisstraat 46,2440,Geel,Belgium,info@van-herck.be,+32 14 588480,http://www.van-herck.be,Nursing shirts and overalls
ATO FORM GmbH,Hall 4 / D15,"Germany, Sailauf","The name ATO FORM has been known for over 40 years and stands for competent advice and a great deal of experience as a specialist for rehabilitation and orthopaedic aids, particularly in the field of children's rehabilitation. High quality and attractive prices are just as much associated with the name as the planning and realization of custom-made products for the individual needs of people in need of help and care. All our products are in a permanent revision phase, whereby we always strive for a synthesis between functionality, safety aspects and design.",Zur Lauterhecke 34,63877,Sailauf,Germany,info@ato-form.com,+49 6093 944-0,http://www.ato-form.com,"Head, knee and elbow protectors"
baenny GmbH & Co. KG,Hall 4 / E02,"Germany, Essen","Weighted blankets for better sleep and more relaxation. Our baenny weighted blankets don't look like therapy blankets, they look like a pretty knitted blanket. They are also washable.",Am Zehnthof 189,45307,Essen,Germany,hello@baenny.com,"+49 15144954635 17641631223, +4915144954635",http://www.baenny.com,Therapy systems for kids
Bansbach easylift GmbH,Hall 4 / D25,"Germany, Lorch",NA,Barbarossastr. 8,73547,Lorch,Germany,info@bansbach.de,+49 7172 9107-0,http://www.bansbach.de,Riser chairs and standing up hoists
